Date,Category,IncidntNum
09/01/2008 12:00:00 AM,VEHICLE THEFT,579
10/01/2008 12:00:00 AM,STOLEN PROPERTY,63
10/01/2008 12:00:00 AM,ARSON,18
10/01/2008 12:00:00 AM,VANDALISM,711
10/01/2008 12:00:00 AM,VEHICLE THEFT,576
10/01/2008 12:00:00 AM,LARCENY/THEFT,2420
10/01/2008 12:00:00 AM,BURGLARY,494
11/01/2008 12:00:00 AM,ARSON,20
11/01/2008 12:00:00 AM,VANDALISM,602
11/01/2008 12:00:00 AM,LARCENY/THEFT,2078
11/01/2008 12:00:00 AM,STOLEN PROPERTY,46
11/01/2008 12:00:00 AM,VEHICLE THEFT,444
11/01/2008 12:00:00 AM,BURGLARY,523
12/01/2008 12:00:00 AM,VEHICLE THEFT,488
12/01/2008 12:00:00 AM,STOLEN PROPERTY,43
12/01/2008 12:00:00 AM,ARSON,17
12/01/2008 12:00:00 AM,VANDALISM,560
12/01/2008 12:00:00 AM,BURGLARY,525
12/01/2008 12:00:00 AM,LARCENY/THEFT,1961
01/01/2009 12:00:00 AM,VEHICLE THEFT,545
01/01/2009 12:00:00 AM,STOLEN PROPERTY,46
01/01/2009 12:00:00 AM,VANDALISM,556
01/01/2009 12:00:00 AM,LARCENY/THEFT,1932
01/01/2009 12:00:00 AM,ARSON,20
01/01/2009 12:00:00 AM,BURGLARY,441
02/01/2009 12:00:00 AM,LARCENY/THEFT,1846
02/01/2009 12:00:00 AM,ARSON,17
02/01/2009 12:00:00 AM,STOLEN PROPERTY,50
02/01/2009 12:00:00 AM,BURGLARY,389
02/01/2009 12:00:00 AM,VEHICLE THEFT,403
02/01/2009 12:00:00 AM,VANDALISM,481
03/01/2009 12:00:00 AM,ARSON,16
03/01/2009 12:00:00 AM,VANDALISM,623
03/01/2009 12:00:00 AM,STOLEN PROPERTY,63
03/01/2009 12:00:00 AM,VEHICLE THEFT,459
03/01/2009 12:00:00 AM,LARCENY/THEFT,2198
03/01/2009 12:00:00 AM,BURGLARY,499
04/01/2009 12:00:00 AM,VANDALISM,660
04/01/2009 12:00:00 AM,STOLEN PROPERTY,53
04/01/2009 12:00:00 AM,BURGLARY,491
04/01/2009 12:00:00 AM,ARSON,18
04/01/2009 12:00:00 AM,VEHICLE THEFT,395
04/01/2009 12:00:00 AM,LARCENY/THEFT,2050
05/01/2009 12:00:00 AM,ARSON,17
05/01/2009 12:00:00 AM,LARCENY/THEFT,1988
05/01/2009 12:00:00 AM,STOLEN PROPERTY,48
05/01/2009 12:00:00 AM,VANDALISM,554
05/01/2009 12:00:00 AM,VEHICLE THEFT,402
05/01/2009 12:00:00 AM,BURGLARY,441
06/01/2009 12:00:00 AM,BURGLARY,432
06/01/2009 12:00:00 AM,ARSON,15
06/01/2009 12:00:00 AM,VANDALISM,537
06/01/2009 12:00:00 AM,VEHICLE THEFT,393
06/01/2009 12:00:00 AM,STOLEN PROPERTY,52
06/01/2009 12:00:00 AM,LARCENY/THEFT,1862
07/01/2009 12:00:00 AM,VEHICLE THEFT,438
07/01/2009 12:00:00 AM,BURGLARY,475
07/01/2009 12:00:00 AM,VANDALISM,675
07/01/2009 12:00:00 AM,LARCENY/THEFT,2327
07/01/2009 12:00:00 AM,STOLEN PROPERTY,56
07/01/2009 12:00:00 AM,ARSON,30
08/01/2009 12:00:00 AM,VEHICLE THEFT,489
08/01/2009 12:00:00 AM,ARSON,19
08/01/2009 12:00:00 AM,BURGLARY,453
08/01/2009 12:00:00 AM,VANDALISM,714
08/01/2009 12:00:00 AM,STOLEN PROPERTY,55
08/01/2009 12:00:00 AM,LARCENY/THEFT,2509
09/01/2009 12:00:00 AM,VANDALISM,688
09/01/2009 12:00:00 AM,VEHICLE THEFT,433
09/01/2009 12:00:00 AM,ARSON,18
09/01/2009 12:00:00 AM,BURGLARY,415
09/01/2009 12:00:00 AM,LARCENY/THEFT,2310
09/01/2009 12:00:00 AM,STOLEN PROPERTY,61
10/01/2009 12:00:00 AM,ARSON,14
10/01/2009 12:00:00 AM,BURGLARY,430
10/01/2009 12:00:00 AM,STOLEN PROPERTY,59
10/01/2009 12:00:00 AM,LARCENY/THEFT,2246
10/01/2009 12:00:00 AM,VEHICLE THEFT,416
10/01/2009 12:00:00 AM,VANDALISM,750
11/01/2009 12:00:00 AM,VEHICLE THEFT,436
11/01/2009 12:00:00 AM,LARCENY/THEFT,2151
11/01/2009 12:00:00 AM,BURGLARY,437
11/01/2009 12:00:00 AM,STOLEN PROPERTY,57
11/01/2009 12:00:00 AM,VANDALISM,684
11/01/2009 12:00:00 AM,ARSON,25
12/01/2009 12:00:00 AM,STOLEN PROPERTY,60
12/01/2009 12:00:00 AM,VANDALISM,682
12/01/2009 12:00:00 AM,BURGLARY,476
12/01/2009 12:00:00 AM,VEHICLE THEFT,374
12/01/2009 12:00:00 AM,LARCENY/THEFT,2166
12/01/2009 12:00:00 AM,ARSON,13
01/01/2010 12:00:00 AM,LARCENY/THEFT,2116
01/01/2010 12:00:00 AM,STOLEN PROPERTY,64
01/01/2010 12:00:00 AM,VANDALISM,702
01/01/2010 12:00:00 AM,BURGLARY,421
01/01/2010 12:00:00 AM,ARSON,19
01/01/2010 12:00:00 AM,VEHICLE THEFT,366
02/01/2010 12:00:00 AM,ARSON,9
02/01/2010 12:00:00 AM,STOLEN PROPERTY,51
02/01/2010 12:00:00 AM,VANDALISM,588
02/01/2010 12:00:00 AM,LARCENY/THEFT,1693
02/01/2010 12:00:00 AM,BURGLARY,374
02/01/2010 12:00:00 AM,VEHICLE THEFT,363
03/01/2010 12:00:00 AM,VANDALISM,609
03/01/2010 12:00:00 AM,ARSON,19
03/01/2010 12:00:00 AM,LARCENY/THEFT,1915
03/01/2010 12:00:00 AM,VEHICLE THEFT,352
03/01/2010 12:00:00 AM,STOLEN PROPERTY,56
03/01/2010 12:00:00 AM,BURGLARY,404
04/01/2010 12:00:00 AM,VEHICLE THEFT,326
04/01/2010 12:00:00 AM,VANDALISM,687
04/01/2010 12:00:00 AM,ARSON,16
04/01/2010 12:00:00 AM,BURGLARY,436
04/01/2010 12:00:00 AM,LARCENY/THEFT,1788
04/01/2010 12:00:00 AM,STOLEN PROPERTY,58
05/01/2010 12:00:00 AM,LARCENY/THEFT,1933
05/01/2010 12:00:00 AM,VANDALISM,719
05/01/2010 12:00:00 AM,STOLEN PROPERTY,59
05/01/2010 12:00:00 AM,BURGLARY,492
05/01/2010 12:00:00 AM,VEHICLE THEFT,271
05/01/2010 12:00:00 AM,ARSON,21
06/01/2010 12:00:00 AM,BURGLARY,457
06/01/2010 12:00:00 AM,VEHICLE THEFT,366
06/01/2010 12:00:00 AM,LARCENY/THEFT,1961
06/01/2010 12:00:00 AM,ARSON,22
06/01/2010 12:00:00 AM,VANDALISM,715
06/01/2010 12:00:00 AM,STOLEN PROPERTY,56
07/01/2010 12:00:00 AM,VEHICLE THEFT,388
07/01/2010 12:00:00 AM,BURGLARY,432
07/01/2010 12:00:00 AM,STOLEN PROPERTY,50
07/01/2010 12:00:00 AM,LARCENY/THEFT,2121
07/01/2010 12:00:00 AM,ARSON,18
07/01/2010 12:00:00 AM,VANDALISM,650
08/01/2010 12:00:00 AM,VANDALISM,694
08/01/2010 12:00:00 AM,LARCENY/THEFT,2289
08/01/2010 12:00:00 AM,STOLEN PROPERTY,66
08/01/2010 12:00:00 AM,BURGLARY,403
08/01/2010 12:00:00 AM,ARSON,22
08/01/2010 12:00:00 AM,VEHICLE THEFT,381
09/01/2010 12:00:00 AM,LARCENY/THEFT,2180
09/01/2010 12:00:00 AM,VANDALISM,685
09/01/2010 12:00:00 AM,STOLEN PROPERTY,49
09/01/2010 12:00:00 AM,ARSON,19
09/01/2010 12:00:00 AM,BURGLARY,385
09/01/2010 12:00:00 AM,VEHICLE THEFT,403
10/01/2010 12:00:00 AM,VEHICLE THEFT,359
10/01/2010 12:00:00 AM,BURGLARY,393
10/01/2010 12:00:00 AM,VANDALISM,680
10/01/2010 12:00:00 AM,STOLEN PROPERTY,59
10/01/2010 12:00:00 AM,LARCENY/THEFT,2142
10/01/2010 12:00:00 AM,ARSON,21
11/01/2010 12:00:00 AM,VANDALISM,635
11/01/2010 12:00:00 AM,ARSON,17
11/01/2010 12:00:00 AM,VEHICLE THEFT,398
11/01/2010 12:00:00 AM,BURGLARY,382
11/01/2010 12:00:00 AM,STOLEN PROPERTY,57
